Pupil's Name,Date of Birth,This Year's Birthday,Month,Cake Needed On,BDs per Weekday and Month
Ronna Nellies,12/21/2013,12/21/2021,December,Tuesday,9
Rusty Andriulis,7/21/2012,7/21/2021,July,Wednesday,12
Roberta Oakeshott,12/4/2011,12/4/2021,December,Friday,51
Lola Rubinfajn,6/29/2012,6/29/2021,June,Tuesday,15
Kamila Benedtti,7/10/2012,7/10/2021,July,Friday,46
Avery Colebourn,8/30/2012,8/30/2021,August,Monday,15
Valentino Klimko,12/23/2014,12/23/2021,December,Thursday,14
Cal Shearwood,1/18/2015,1/18/2021,January,Monday,12
King Truswell,9/14/2012,9/14/2021,September,Tuesday,7
Towney Stichall,6/4/2015,6/4/2021,June,Friday,29
Aubrette Mc Dermid,10/9/2012,10/9/2021,October,Friday,35
Adah Chatres,12/27/2012,12/27/2021,December,Monday,8
Benedikt Titterton,1/10/2014,1/10/2021,January,Friday,41
Rosina Harberer,12/23/2012,12/23/2021,December,Thursday,14
Panchito Filinkov,6/9/2013,6/9/2021,June,Wednesday,12
Samara Strike,6/26/2013,6/26/2021,June,Friday,29
Joane McCormack,4/17/2012,4/17/2021,April,Friday,44
Griffie Sitlinton,3/24/2014,3/24/2021,March,Wednesday,19
Gilberta Silversmidt,9/8/2014,9/8/2021,September,Wednesday,14
Marjie Matkovic,12/4/2011,12/4/2021,December,Friday,51
Uri Cowterd,12/12/2011,12/12/2021,December,Friday,51
Korella Mattisson,4/3/2015,4/3/2021,April,Friday,44
Findlay Schonfelder,1/19/2014,1/19/2021,January,Tuesday,14
Jaquelyn Jantzen,10/20/2012,10/20/2021,October,Wednesday,14
Davina Gradwell,11/7/2011,11/7/2021,November,Friday,38
Nicolea Selby,4/4/2014,4/4/2021,April,Friday,44
Moselle Alelsandrovich,12/22/2012,12/22/2021,December,Wednesday,20
Honey Nieass,11/23/2014,11/23/2021,November,Tuesday,17
Akim Godfroy,9/30/2012,9/30/2021,September,Thursday,14
Karole Floch,11/6/2012,11/6/2021,November,Friday,38
Nata Feldbaum,5/7/2015,5/7/2021,May,Friday,32
Jaquelin Antonucci,5/3/2012,5/3/2021,May,Monday,15
Candra Hallums,8/11/2014,8/11/2021,August,Wednesday,10
Den Masters,10/3/2014,10/3/2021,October,Friday,35
Janifer Marris,5/21/2012,5/21/2021,May,Friday,32
Carolus Bremmer,9/15/2011,9/15/2021,September,Wednesday,14
Casey Addicote,9/25/2014,9/25/2021,September,Friday,29
Brigida De Ath,8/7/2014,8/7/2021,August,Friday,27
Kimberli Severs,9/19/2011,9/19/2021,September,Friday,29
Maribeth Blumson,8/27/2014,8/27/2021,August,Friday,27
Arabele Rosenauer,10/26/2012,10/26/2021,October,Tuesday,13
Madison Cominetti,7/17/2014,7/17/2021,July,Friday,46
Verina Knoton,4/4/2014,4/4/2021,April,Friday,44
Wolfgang Clubbe,4/20/2014,4/20/2021,April,Tuesday,12
Davin Mazdon,7/10/2015,7/10/2021,July,Friday,46
Constantina McIlwaine,8/26/2014,8/26/2021,August,Thursday,9
Sayre Merredy,10/24/2014,10/24/2021,October,Friday,35
Rodrick Jeannot,10/19/2013,10/19/2021,October,Tuesday,13
Kain Guerre,8/10/2015,8/10/2021,August,Tuesday,10
Blinni Fieldstone,11/17/2013,11/17/2021,November,Wednesday,13
Annabell Goscomb,11/10/2013,11/10/2021,November,Wednesday,13
Clayborn Benazet,11/21/2014,11/21/2021,November,Friday,38
Mahala Henze,9/15/2014,9/15/2021,September,Wednesday,14
Lanette Berzen,11/18/2011,11/18/2021,November,Thursday,12
Keefer Ruckhard,4/2/2013,4/2/2021,April,Friday,44
Merrili Truelock,11/27/2013,11/27/2021,November,Friday,38
Joete Goutcher,1/6/2015,1/6/2021,January,Wednesday,6
Miguelita Palfreman,2/17/2012,2/17/2021,February,Wednesday,12
Ossie Mattes,5/15/2012,5/15/2021,May,Friday,32
Bear Vernay,5/21/2014,5/21/2021,May,Friday,32
Teodor Wragge,8/14/2015,8/14/2021,August,Friday,27
Daisie Whitelaw,1/17/2014,1/17/2021,January,Friday,41
Emlynne Littley,2/5/2015,2/5/2021,February,Friday,36
Britni Walsh,7/12/2012,7/12/2021,July,Monday,12
Marys Inseal,11/16/2012,11/16/2021,November,Tuesday,17
Paxton Massow,2/11/2014,2/11/2021,February,Thursday,7
Kerby Scain,10/30/2012,10/30/2021,October,Friday,35
Johnathan Lamplough,9/25/2013,9/25/2021,September,Friday,29
